Nr;Data i czas;Przewodnosc 1 [µS/cm] (3);Przewodnosc 2 [µS/cm] (4);Przewodnosc 3 [µS/cm] (9);Przewodnosc 4 [µS/cm] (10);Przewodnosc 5 [µS/cm] (11);Przewodnosc 6 [µS/cm] (12)
148;2022-07-11 14:14:46,5;-1,2846;573,6751;621,8919;-4999,9986;2,5208;1015,5515
149;2022-07-11 14:14:49,5;-1,2104;574,7972;625,8157;-4999,9997;2,6024;1345,6276
150;2022-07-11 14:14:52,5;-1,2412;577,3004;628,2411;-4999,9841;2,6167;1346,2285
151;2022-07-11 14:14:55,5;-1,2851;582,1621;626,7505;-4999,9965;2,4709;1959,6066
152;2022-07-11 14:14:58,5;-1,2079;582,7549;625,8778;-4999,9412;2,402;1319,5797
153;2022-07-11 14:15:01,5;-1,2986;585,6043;630,7148;-4999,9869;2,4416;1193,5741
154;2022-07-11 14:15:04,5;-1,258;585,6721;632,0293;-4999,9971;2,6752;1431,4498
155;2022-07-11 14:15:07,5;-1,2561;586,0433;636,113;-4999,9993;2,5458;1194,8708
156;2022-07-11 14:15:10,5;-1,1989;589,2254;638,0311;-4999,9999;2,6087;1177,0495
157;2022-07-11 14:15:13,5;-1,2775;592,0503;639,8919;-5000;2,5278;1047,1507
158;2022-07-11 14:15:16,5;-1,2981;595,5611;642,0612;-5000;2,4558;2598,0486
159;2022-07-11 14:15:19,5;-1,3016;596,2379;643,3547;-5000;2,4718;2051,4447
160;2022-07-11 14:15:22,5;-1,2245;594,2975;643,1451;-5000;2,5255;1246,8618
161;2022-07-11 14:15:25,5;-1,2219;592,8492;640,4989;-5000;2,4014;1067,931
162;2022-07-11 14:15:28,5;-1,1635;595,5786;643,9449;-4999,9092;2,5514;1197,8867
163;2022-07-11 14:15:31,5;-1,2917;598,1688;645,3982;-4999,9797;2,4761;1254,7086
164;2022-07-11 14:15:34,5;-1,2986;600,5547;643,9574;-4999,9955;2,4501;1200,9165
165;2022-07-11 14:15:37,5;-1,2608;600,1978;643,7955;-4999,9777;2,4294;1701,7803
166;2022-07-11 14:15:40,5;-1,2999;603,8905;644,6894;-4999,995;2,4041;1275,044
167;2022-07-11 14:15:43,5;-1,257;608,5669;647,4249;-4999,9989;2,4137;1064,0123
168;2022-07-11 14:15:46,5;-1,1865;609,4066;651,9006;-4999,9998;2,5265;1214,4375
169;2022-07-11 14:15:49,5;-1,2224;611,1394;652,5382;-4999,9999;2,5427;1139,9756
170;2022-07-11 14:15:52,5;-1,2438;613,0593;652,705;-5000;2,5052;1097,0421
171;2022-07-11 14:15:55,5;-1,2998;616,2408;651,5412;-5000;2,5275;1055,5805
172;2022-07-11 14:15:58,5;-1,2401;615,6144;651,3582;-5000;2,4858;1052,4046
173;2022-07-11 14:16:01,5;-1,2533;612,2951;653,3787;-5000;2,437;1793,1468
174;2022-07-11 14:16:04,5;-1,3095;612,0004;656,6785;-5000;2,4121;1241,9826
175;2022-07-11 14:16:07,5;-1,2503;607,6875;659,6202;-5000;2,3948;1068,8479
176;2022-07-11 14:16:10,5;-1,2122;608,2034;663,9985;-5000;2,4613;1031,1297
177;2022-07-11 14:16:13,5;-1,2496;609,5932;665,0398;-5000;2,4036;1009,9622
178;2022-07-11 14:16:16,5;-1,2432;607,5629;666,2113;-5000;2,491;1155,4336
179;2022-07-11 14:16:19,5;-1,2892;613,2548;665,8188;-5000;2,5738;1097,1054
180;2022-07-11 14:16:22,5;-1,2102;617,0262;668,8113;-5000;2,4487;1299,7251
181;2022-07-11 14:16:25,5;-1,3061;616,7441;671,9715;-5000;2,598;1185,1613
182;2022-07-11 14:16:28,5;-1,3455;617,8273;668,4549;-5000;2,5806;1372,4143
183;2022-07-11 14:16:31,5;-1,2283;620,706;669,2814;-5000;2,4856;1155,7242
184;2022-07-11 14:16:34,5;-1,2951;622,0735;672,6678;-4999,9834;2,5789;1448,4137
185;2022-07-11 14:16:37,5;-1,2744;621,2863;670,4549;-4999,9963;2,4816;1178,4256
186;2022-07-11 14:16:40,5;-1,3179;622,9834;668,3264;-4999,9992;2,4304;1449,1282
187;2022-07-11 14:16:43,5;-1,306;624,4519;669,6946;-4999,9998;2,4308;1352,5134
188;2022-07-11 14:16:46,5;-1,2258;624,7342;669,777;-5000;2,4794;1071,8014
189;2022-07-11 14:16:49,5;-1,2639;626,2147;672,2838;-5000;2,5283;1233,4292
190;2022-07-11 14:16:52,5;-1,2734;627,3144;672,8207;-5000;2,5429;1063,8134
191;2022-07-11 14:16:55,5;-1,3295;629,7098;675,2838;-5000;2,5355;1029,6336
192;2022-07-11 14:16:58,5;-1,3348;632,0314;676,8031;-5000;2,6619;1003,6243
193;2022-07-11 14:17:01,5;-1,3887;633,9804;679,0919;-5000;2,5057;1014,828
194;2022-07-11 14:17:04,5;-1,2786;636,3426;679,6637;-5000;2,545;1253,7248
195;2022-07-11 14:17:07,5;-1,2852;639,9329;678,3621;-5000;2,6587;1041,0417
196;2022-07-11 14:17:10,5;-1,2803;639,6169;677,9116;-5000;2,4207;1016,0003
197;2022-07-11 14:17:13,5;-1,1433;640,3702;683,9219;-5000;2,4966;1428,9896
198;2022-07-11 14:17:16,5;-1,2262;639,5682;683,8068;-5000;2,4416;1552,3925
199;2022-07-11 14:17:19,5;-1,229;643,5168;686,11;-4999,9475;2,6655;1138,1675
200;2022-07-11 14:17:22,5;-1,2179;643,7833;686,3264;-4999,9883;2,6502;1033,8185
201;2022-07-11 14:17:25,5;-1,2584;643,2392;686,9226;-4999,9974;2,5079;981,7652
202;2022-07-11 14:17:28,5;-1,2202;644,2432;688,2043;-4999,9994;2,5616;1011,7694
203;2022-07-11 14:17:31,5;-1,2433;642,9304;687,9222;-4999,9999;2,6052;1065,9325
204;2022-07-11 14:17:34,5;-1,1843;641,7646;687,3404;-5000;2,4918;1037,7286
205;2022-07-11 14:17:37,5;-1,3147;642,0371;689,6845;-5000;2,5938;1021,0827
206;2022-07-11 14:17:40,5;-1,3224;642,6345;690,7481;-5000;2,4982;1007,2685
207;2022-07-11 14:17:43,5;-1,2828;645,1615;692,45;-4999,9797;2,5203;991,5247
208;2022-07-11 14:17:46,5;-1,2861;643,689;696,9153;-4999,9955;2,526;1217,4205
209;2022-07-11 14:17:49,5;-1,2755;644,191;697,3951;-4999,999;2,5819;1931,8467
210;2022-07-11 14:17:52,5;-1,1338;645,4554;699,2769;-4999,9998;2,4446;1225,3279
211;2022-07-11 14:17:55,5;-1,1691;645,3455;698,4578;-4999,9999;2,5111;1331,2459
212;2022-07-11 14:17:58,5;-1,3074;645,0485;697,7786;-5000;2,5235;1104,5946
213;2022-07-11 14:18:01,5;-1,2167;645,1514;699,3777;-5000;2,5646;1024,7868
214;2022-07-11 14:18:04,5;-1,3618;646,2768;700,4296;-4999,9448;2,5753;1115,6985
215;2022-07-11 14:18:07,5;-1,2777;649,0746;700,6948;-4999,9693;2,5097;1059,158
216;2022-07-11 14:18:10,5;-1,2253;648,0037;700,9302;-4999,9932;2,5678;1401,5124
217;2022-07-11 14:18:13,5;-1,2693;647,8359;703,625;-4999,9985;2,4379;1085,3251
218;2022-07-11 14:18:16,5;-1,2173;648,7879;705,4772;-4999,9997;2,595;1708,0443
219;2022-07-11 14:18:19,5;-1,2812;652,4097;699,8123;-4999,9999;2,6297;1371,3405
220;2022-07-11 14:18:22,5;-1,2083;654,8785;703,094;-5000;2,525;1225,7341
221;2022-07-11 14:18:25,5;-1,2222;655,9344;705,0804;-5000;2,5573;1306,3334
222;2022-07-11 14:18:28,5;-1,2726;655,9647;703,5914;-5000;2,561;1078,0049
223;2022-07-11 14:18:31,5;-1,2545;655,5522;707,3666;-5000;2,5554;1450,0323
224;2022-07-11 14:18:34,5;-1,2319;653,9945;706,394;-4999,9776;2,5495;1238,0529
225;2022-07-11 14:18:37,5;-1,2085;654,504;705,8152;-4999,995;2,5706;1491,7195
226;2022-07-11 14:18:40,5;-1,3099;653,7824;705,5449;-4999,9989;2,483;1191,9479
227;2022-07-11 14:18:43,5;-1,3343;652,4444;706,1519;-4999,9998;2,4304;1412,9334
228;2022-07-11 14:18:46,5;-1,2666;652,8243;710,9241;-4999,9999;2,5281;1604,829
229;2022-07-11 14:18:49,5;-1,2537;653,7949;706,2152;-5000;2,5482;1145,5017
230;2022-07-11 14:18:52,5;-1,2285;657,3208;705,2014;-5000;2,6285;1132,7839
231;2022-07-11 14:18:55,5;-1,1965;656,6783;707,6877;-5000;2,5808;1044,3016
232;2022-07-11 14:18:58,5;-1,3072;655,2009;707,0152;-5000;2,5536;1042,3116
233;2022-07-11 14:19:01,5;-1,343;655,3707;705,8367;-5000;2,512;1011,1508
234;2022-07-11 14:19:04,5;-1,285;658,3956;707,0802;-5000;2,4647;1343,6454
235;2022-07-11 14:19:07,5;-1,3421;658,1001;705,0715;-5000;2,4318;1099,4243
236;2022-07-11 14:19:10,5;-1,304;657,2134;706,3488;-5000;2,533;1183,593
237;2022-07-11 14:19:13,5;-1,2566;659,0072;706,3779;-5000;2,5216;1054,0457
238;2022-07-11 14:19:16,5;-1,2728;663,5692;709,7701;-5000;2,6088;1243,3265
239;2022-07-11 14:19:19,5;-1,2934;663,697;708,8164;-5000;2,5163;1324,376
240;2022-07-11 14:19:22,5;-1,2286;667,6649;706,9328;-5000;2,4643;1460,3171
241;2022-07-11 14:19:25,5;-1,2869;670,5451;708,3416;-5000;2,4551;1402,4979
242;2022-07-11 14:19:28,5;-1,2997;667,487;710,4674;-5000;2,4533;1182,7963
243;2022-07-11 14:19:31,5;-1,3123;665,3102;711,2162;-5000;2,5051;1526,9132
244;2022-07-11 14:19:34,5;-1,2146;666,4263;712,9658;-5000;2,6068;1250,8755
245;2022-07-11 14:19:37,5;-1,1869;666,6441;712,7933;-5000;2,5854;1333,6914
246;2022-07-11 14:19:40,5;-1,1779;668,0713;712,0853;-5000;2,5964;1211,3926
247;2022-07-11 14:19:43,5;-1,2126;671,4482;713,8915;-5000;2,5861;1468,0895
248;2022-07-11 14:19:46,5;-1,2803;672,1782;718,6522;-5000;2,6069;1176,1092
249;2022-07-11 14:19:49,5;-1,2822;671,868;716,1134;-5000;2,6185;1046,55
250;2022-07-11 14:19:52,5;-1,2833;673,8607;715,9513;-5000;2,5625;1040,1272
251;2022-07-11 14:19:55,5;-1,3049;669,712;718,4244;-5000;2,4519;1365,7252
252;2022-07-11 14:19:58,5;-1,3812;672,3072;719,4952;-5000;2,63;1295,4707
253;2022-07-11 14:20:01,5;-1,3402;673,0729;718,8086;-5000;2,6033;1382,4663
254;2022-07-11 14:20:04,5;-1,2723;672,1444;723,9819;-5000;2,4536;1818,2243
255;2022-07-11 14:20:07,5;-1,2938;670,3608;722,2996;-5000;2,4498;1185,7989
256;2022-07-11 14:20:10,5;-1,2432;676,4832;721,8358;-5000;2,4617;1041,7559
257;2022-07-11 14:20:13,5;-1,2733;676,7249;722,0514;-5000;2,4915;1022,89
258;2022-07-11 14:20:16,5;-1,2433;672,8324;722,7254;-5000;2,4244;1026,5068
259;2022-07-11 14:20:19,5;-1,3466;671,1655;721,2228;-5000;2,4464;964,6491
260;2022-07-11 14:20:22,5;-1,2716;673,9288;721,8608;-5000;2,5016;1055,7049
261;2022-07-11 14:20:25,5;-1,2822;675,2272;724,9857;-5000;2,514;1158,314
262;2022-07-11 14:20:28,5;-1,2924;675,771;725,6382;-5000;2,5617;1026,3533
263;2022-07-11 14:20:31,5;-1,2334;675,6749;726,7111;-5000;2,6185;1399,5284
264;2022-07-11 14:20:34,5;-1,2956;675,4803;727,7064;-5000;2,4729;1097,317
265;2022-07-11 14:20:37,5;-1,2602;675,524;730,7009;-5000;2,5328;1467,3079
266;2022-07-11 14:20:40,5;-1,2523;676,4564;728,0526;-5000;2,5073;1328,4961
267;2022-07-11 14:20:43,5;-1,1721;678,3581;728,8384;-5000;2,6122;1580,0844
268;2022-07-11 14:20:46,5;-1,2052;678,6657;727,8969;-5000;2,5615;1178,5593
269;2022-07-11 14:20:49,5;-1,2511;678,8337;729,8887;-5000;2,5939;1070,2271
270;2022-07-11 14:20:52,5;-1,2911;678,2535;731,2411;-5000;2,5569;1719,7623
271;2022-07-11 14:20:55,5;-1,2926;676,54;729,2679;-5000;2,5801;1199,314
272;2022-07-11 14:20:58,5;-1,2206;675,2201;731,7228;-5000;2,4401;1025,6478
273;2022-07-11 14:21:01,5;-1,3238;676,768;732,0628;-5000;2,5742;1287,3821
274;2022-07-11 14:21:04,5;-1,233;676,1358;732,7035;-4999,9594;2,5359;1332,0927
275;2022-07-11 14:21:07,5;-1,3167;676,2315;733,8622;-4999,9501;2,4357;1580,9256
276;2022-07-11 14:21:10,5;-1,2314;677,1959;735,6699;-4999,9889;2,5308;1461,312
277;2022-07-11 14:21:13,5;-1,2958;675,1577;735,1296;-4999,9782;2,527;1125,9683
278;2022-07-11 14:21:16,5;-1,2745;677,8743;732,3222;-4999,9951;2,5382;1033,191
